Timestamp,Screen_Brightness,Screen_On,RSRP_dBm,Network_Type,WiFi_RSSI,CPU_Freq_Avg_MHz,CPU_Total%,CPU_User%,CPU_Idle%,Load1min,Load5min,Load15min,Wakelock_Count,Temperature_C
2026/2/1 14:37,43.1,1,-70,5G,,1036.8,49,32,51,15.35,15.82,15.59,3,32
2026/2/1 14:37,43.1,1,-70,5G,,784.8,49,32,51,15.4,15.82,15.59,2,32
2026/2/1 14:37,43.1,1,-70,5G,,1372.8,49,32,51,14.92,15.68,15.54,3,32
2026/2/1 14:38,43.1,1,-70,5G,,1113.6,50,33,50,17.14,16.25,15.75,2,32
2026/2/1 14:38,43.1,1,-70,5G,,775.2,50,33,50,17.83,16.42,15.81,2,32
2026/2/1 14:38,43.1,1,-70,5G,,729.6,50,33,50,16.83,16.27,15.77,2,32
2026/2/1 14:39,43.1,1,-70,5G,,864,50,33,50,15.85,16.1,15.73,2,32
2026/2/1 14:39,43.1,1,-70,5G,,1039.2,50,33,50,15.37,15.98,15.7,3,32
2026/2/1 14:39,43.1,1,-70,5G,,1140,50,33,50,16.39,16.17,15.77,2,32
2026/2/1 14:40,43.1,1,-70,5G,,940.8,50,33,50,15.38,15.92,15.69,2,32
2026/2/1 14:40,43.1,1,-68,5G,,876,50,33,50,15.18,15.86,15.68,2,32
2026/2/1 14:40,43.1,1,-68,5G,,693.6,50,33,50,15.29,15.85,15.68,2,33
2026/2/1 14:41,43.1,1,-68,5G,,1051.2,50,33,50,14.92,15.68,15.63,2,33
2026/2/1 14:41,43.1,1,-68,5G,,991.2,50,33,50,14.7,15.61,15.6,2,33
2026/2/1 14:41,43.1,1,-68,5G,,996,50,33,50,14.39,15.5,15.57,2,33
2026/2/1 14:42,43.1,1,-68,5G,,1072.8,50,33,50,16.57,15.86,15.68,2,33
2026/2/1 14:42,43.1,1,-68,5G,,1756.8,50,33,50,16.13,15.81,15.67,3,33
2026/2/1 14:43,43.1,1,-68,5G,,1017.6,50,33,50,15.41,15.66,15.62,2,33
2026/2/1 14:43,43.1,1,-68,5G,,1161.6,50,34,50,15.77,15.76,15.66,2,33
2026/2/1 14:43,43.1,1,-68,5G,,756,50,34,50,15.88,15.78,15.67,2,33
2026/2/1 14:44,43.1,1,-68,5G,,964.8,50,34,50,16.19,15.86,15.69,2,33
2026/2/1 14:44,43.1,1,-68,5G,,1111.2,50,34,50,14.62,15.47,15.57,2,33
2026/2/1 14:44,43.1,1,-68,5G,,828,50,34,50,14.76,15.47,15.57,2,33
2026/2/1 14:45,43.1,1,-68,5G,,849.6,50,34,50,15.12,15.53,15.58,2,33
2026/2/1 14:45,43.1,1,-68,5G,,924,50,34,50,15.09,15.45,15.55,2,33
2026/2/1 14:45,43.1,1,-68,5G,,938.4,50,34,50,14.53,15.31,15.51,2,33
2026/2/1 14:46,43.1,1,-68,5G,,1257.6,50,34,50,14.67,15.32,15.51,2,33
2026/2/1 14:46,43.1,1,-68,5G,,1053.6,50,34,50,13.49,14.94,15.37,2,33
2026/2/1 14:47,43.1,1,-68,5G,,1068,50,34,50,13.86,14.98,15.38,2,34
2026/2/1 14:47,43.1,1,-68,5G,,1632,50,34,50,13.5,14.86,15.34,2,33
2026/2/1 14:47,43.1,1,-70,5G,,1082.4,50,34,50,13.94,14.76,15.28,2,34
2026/2/1 14:48,43.1,1,-70,5G,,1310.4,50,34,50,14.54,14.87,15.31,2,34
2026/2/1 14:48,43.1,1,-70,5G,,1317.6,50,34,50,14.53,14.86,15.3,2,34
2026/2/1 14:48,43.1,1,-70,5G,,1336.8,51,34,49,15.48,15.09,15.36,2,34
2026/2/1 14:49,43.1,1,-70,5G,,1519.2,51,34,49,15.03,15.02,15.33,2,34
