电量(%),时间
20,15:10
19,15:13
18,15:15
17,15:18
16,15:21
15,15:24
14,15:27
13,15:30
12,15:34
11,15:37
10,15:40
9,15:43
8,15:47
7,15:50
6,15:53
5,15:56
4,15:59
3,16:01
2,16:04
