电量(%),时间
30,20:50
29,20:54
28,21:01
27,21:06
26,21:11
25,21:16
24,21:21
23,21:26
22,21:31
21,21:37
20,21:42
19,21:47
18,21:51
17,21:56
16,22:01
15,22:06
14,22:11
13,22:16
12,22:21
11,22:26
10,22:31
9,22:37
8,22:43
7,22:49
6,22:55
5,23:01
4,23:08
3,23:15
2,23:22
1,23:29
