电量(%),时间
50,10:24
49,10:32
48,10:34
47,10:36
46,10:39
45,10:43
44,10:46
43,10:49
42,10:53
41,10:56
40,11:00
39,11:03
38,11:07
37,11:10
36,11:13
35,11:17
34,11:21
33,11:24
32,11:27
31,11:30
30,11:33
29,11:36
28,11:40
27,11:43
26,11:47
25,11:50
24,11:53
23,11:56
22,12:00
21,12:03
20,12:07
19,12:10
18,12:13
17,12:16
16,12:19
15,12:23
14,12:26
13,12:29
12,12:32
11,12:35
10,12:39
9,12:42
8,12:46
7,12:49
6,12:52
5,12:55
4,12:58
3,13:01
2,13:05
