Timestamp,Screen_Brightness,Screen_On,RSRP_dBm,Network_Type,WiFi_RSSI,CPU_Freq_Avg_MHz,CPU_Total%,CPU_User%,CPU_Idle%,Load1min,Load5min,Load15min,Wakelock_Count,Temperature_C
2026-01-31 10:18:50,43.9,0,,Wi-Fi,-42,1936.8,8.2,3.1,91.8,10.33,10.34,11.57,0.0,29.0
2026-01-31 10:21:55,43.9,0,,Wi-Fi,-40,1468.8,7.7,3.0,92.3,9.52,10.02,11.22,0.0,29.4
2026-01-31 10:23:56,43.9,1,,Wi-Fi,-45,1255.2,7.7,3.0,92.3,10.22,10.05,11.07,0.0,29.4
2026-01-31 10:30:00,43.9,1,,Wi-Fi,-51,1312.8,13.0,6.1,87.0,9.53,9.97,10.76,0.0,31.9
2026-01-31 10:33:03,25.1,1,,Wi-Fi,-47,2212.8,21.0,9.8,79.0,11.78,10.66,10.87,1.0,33.5
2026-01-31 10:36:08,28.2,1,,Wi-Fi,-43,1252.8,54.0,25.0,46.0,17.39,13.92,12.1,2.0,39.9
2026-01-31 10:39:11,28.2,1,,Wi-Fi,-41,1082.4,53.0,27.0,47.0,16.48,15.16,12.91,2.0,36.9
2026-01-31 10:42:15,28.2,1,,Wi-Fi,-43,787.2,52.0,30.0,48.0,14.89,15.09,13.3,2.0,37.0
2026-01-31 10:45:19,28.2,1,,Wi-Fi,-50,801.6,54.0,30.0,46.0,15.75,15.3,13.7,2.0,36.9
2026-01-31 10:48:23,28.2,1,,Wi-Fi,-43,1082.4,51.0,28.0,49.0,16.3,15.47,14.05,2.0,37.3
2026-01-31 10:51:27,28.2,1,,Wi-Fi,-44,1332.0,51.0,28.0,49.0,14.17,14.93,14.1,3.0,36.9
2026-01-31 10:54:30,28.2,1,,Wi-Fi,-41,789.6,52.0,29.0,48.0,15.02,14.91,14.24,2.0,36.8
2026-01-31 10:57:34,28.2,1,,Wi-Fi,-43,897.6,50.0,28.0,50.0,15.28,14.71,14.26,2.0,37.8
2026-01-31 11:00:38,28.2,1,,Wi-Fi,-45,880.8,49.0,28.0,51.0,15.52,15.19,14.53,2.0,36.9
2026-01-31 11:03:42,28.2,1,,Wi-Fi,-43,825.6,49.0,28.0,51.0,14.16,14.71,14.45,3.0,37.0
2026-01-31 11:06:50,28.2,1,,Wi-Fi,-44,1020.0,51.0,30.0,49.0,14.02,14.77,14.56,2.0,37.1
2026-01-31 11:09:55,28.2,1,,Wi-Fi,-47,1173.6,50.0,29.0,50.0,14.02,14.7,14.6,2.0,37.0
2026-01-31 11:13:02,28.2,1,,Wi-Fi,-41,943.2,51.0,30.0,49.0,15.02,14.79,14.64,2.0,37.0
2026-01-31 11:16:06,28.2,1,,Wi-Fi,-50,832.8,51.0,28.0,49.0,13.98,14.4,14.52,2.0,36.7
2026-01-31 11:19:10,28.2,1,,Wi-Fi,-43,883.2,52.0,28.0,48.0,15.83,14.77,14.62,2.0,36.8
2026-01-31 11:20:49,28.2,1,,Wi-Fi,-51,796.8,52.0,28.0,48.0,14.36,14.68,14.61,2.0,37.6
2026-01-31 11:23:53,34.9,1,,Wi-Fi,-43,1192.8,51.0,29.0,49.0,16.55,15.54,14.95,3.0,37.8
2026-01-31 11:26:56,33.7,1,,Wi-Fi,-43,957.6,50.0,27.0,50.0,16.62,16.51,15.46,2.0,38.3
2026-01-31 11:29:59,33.7,1,,Wi-Fi,-51,1298.4,52.0,28.0,48.0,15.88,16.3,15.57,2.0,38.0
2026-01-31 11:33:03,33.7,1,,Wi-Fi,-43,1020.0,50.0,29.0,50.0,15.98,16.24,15.67,3.0,38.0
2026-01-31 11:36:07,33.7,1,,Wi-Fi,-41,696.0,52.0,27.0,48.0,16.98,16.3,15.78,2.0,37.8
2026-01-31 11:39:10,33.7,1,,Wi-Fi,-40,1089.6,58.0,26.0,42.0,17.36,16.43,15.9,2.0,37.9
2026-01-31 11:42:14,33.7,1,,Wi-Fi,-44,832.8,59.0,27.0,41.0,17.67,17.07,16.25,3.0,38.1
2026-01-31 11:45:17,33.7,1,,Wi-Fi,-41,1082.4,59.0,28.0,41.0,17.84,17.67,16.65,2.0,38.2
2026-01-31 11:48:20,33.7,1,,Wi-Fi,-45,926.4,58.0,26.0,42.0,18.65,17.76,16.84,3.0,38.1
2026-01-31 11:51:26,33.7,1,,Wi-Fi,-45,931.2,58.0,26.0,42.0,16.68,17.44,16.89,3.0,38.2
2026-01-31 11:54:30,33.7,1,,Wi-Fi,-43,928.8,58.0,26.0,42.0,16.93,17.22,16.9,2.0,38.1
